pathway	pval	padj	log2err	ES	NES	size	leadingEdge
5991851_Mitotic_Prometaphase	8.47017279771966e-19	1.65450708648791e-16	1.12391496374483	0.725326964773323	2.97268970835102	82	66336 66977 12442 107995 66442 52276 54392 215387 67629 72415 56150 20877 12615 11799 66468 67849 73804 70454 60411 14211 12534 208628 228421 68014 12236 18817 66934 68298 108000 26886 268697 72155 229841 67052 16319 67203 12235 381318 66570 102920 75786 69736 19357 70385
5990979_Cell_Cycle,_Mitotic	6.69048070029472e-27	3.9206216903727e-24	1.34223377296446	0.559475493154341	2.76906952874179	317	66336 66977 12442 107995 66442 12571 52276 54392 215387 67629 72415 56150 57441 20877 67121 12615 21973 11799 66468 20135 67849 73804 70454 76044 20878 13555 60411 12580 17219 69270 12575 69263 12448 14211 20873 18005 71988 17215 12534 208628 22390 68240 228421 68014 19348 12236 72151 18817 21781 18968 66934 272551 227613 67141 68612 68298 13361 108000 23834 106344 56452 242705 18141 223921 26886 13557 268697 72155 56371 12531 327762 12567 229841 67052 16319 66634 67203 17865 12235 19891 74470 381318 66570 17216 19687 17218 102920 18973 16881 17463 75786 19645 19075 69736 19357 76816 70385 22628 22627 52683 19076 18972 12544 17997 26440 68549 19088 269113 26444 19324 103733 19179 12579 232987 17420 228769 26445 105988 69745 18538 69928 57296 14235 22171 19170 17220 50793 18392 236930 67151 70024 59126 66296 109145 71819 67733 12447 12532 14156 26442 19177
5990980_Cell_Cycle	3.31256502376521e-26	9.70581551963205e-24	1.32671609800481	0.538849686537972	2.70589357225718	369	66336 66977 12442 107995 66442 19361 12571 52276 54392 66311 215387 67629 12649 72415 56150 57441 20877 67121 12615 21973 11799 66468 20135 67849 73804 70454 76044 20878 15270 13555 60411 12580 17219 69270 12575 69263 12448 14211 20873 18005 71988 12189 17215 12534 208628 22390 68240 228421 71846 68014 269582 19348 12236 72151 18817 21781 18968 217653 66934 272551 227613 67141 68612 68298 13361 108000 23834 106344 56452 242705 18141 223921 26886 13557 268697 72155 56371 12531 327762 12567 229841 67052 16319 66634 67203 17865 12235 19891 74470 381318 66570 17216 19687 17218 102920 18973 16881 17463 75786 19645 19075 69736 19357 76816 70385 70645 22628 22627 52683 19076 18972 12544 17997 26440 68549 19088 269113 26444 19324 103733 19179 12579 232987 17420 228769 26445 105988 69745 18538 69928 57296 14235 22171 19170 17246 17220 12144 50793 18392 236930 67151 70024 59126 66296 16906 109145 71819 67733 50883 12447 12532 14156 26442 19177 245688
5990998_DNA_strand_elongation	2.17033000197134e-10	7.48125518326592e-09	0.826657301178302	0.777238329741357	2.61664727042981	31	17219 69270 69263 17215 68240 72151 18968 272551 106344 327762 66634 19891 17216 19687 17218 16881 19075 19076 18972 12544 69745 18538 17220 109145 14156 18971 19718
5991022_Glucose_metabolism	3.96743871978288e-09	1.22364162620672e-07	0.761460801445585	0.690491914951155	2.53135480323083	49	11676 21991 18648 110095 18563 15277 18655 18746 56421 27357 72157 74185 14433 11674 18641 13358 14751 77559 14718 15275 433182 74551 14719 12315 67863 14387
5991393_E2F_mediated_regulation_of_DNA_replication	1.95050128284852e-08	5.44282738928206e-07	0.73376198835648	0.771667151302997	2.48991355650572	26	20135 13555 12534 21781 18968 67141 13361 23834 56452 268697 66634 19645 19075 19076 12544 18538 22171 50793 18392 12447
5991017_G2_M_Checkpoints	1.56226252838232e-08	4.57742920816021e-07	0.73376198835648	0.688130747626764	2.4685071566424	44	12442 12649 17219 69263 17215 12534 22390 68240 269582 72151 23834 106344 56452 268697 66634 19891 17216 17218 22628 22627 12544 17220 50793 18392 70024 50883 12532
5991078_Metabolism_of_nucleotides	2.61968698047917e-07	6.39640237733664e-06	0.674962860011025	0.633763992265673	2.36616862005148	55	93692 22271 21877 20133 20135 22436 110074 18950 11565 18102 22166 80914 14782 15452 53893 12359 320685 67054 23959 11636 11486 76952 11821 22171 17766 229363 13178
5991662_Cholesterol_biosynthesis	1.59454162097529e-06	3.01419803190813e-05	0.643551836150722	0.772153119230007	2.35193383883731	20	110196 13121 20775 208715 14137 15357 235293 16987 66234 319554 15490 68603 192156
5991398_Intrinsic_Pathway_for_Apoptosis	6.10571669075875e-06	9.41565784417007e-05	0.610526878385931	0.680529431112813	2.26845809593286	30	58801 12043 12367 14940 14942 12018 12125 14944 11783 22628 22627 14939 14941 14943 13063 19057 11651 68097 12028
